101 129
223 -55162 -34717
117 49704 64359
203 67480 26208
104 22454 32257
20 17695 -73993
36 -93825 26586
201 10635 35954
132 -23784 -56146
53 -16597 75167
86 -51037 70156
226 -69102 -32930
166 28525 -35031
120 -41300 7392
159 -98715 63437
198 62872 65785
133 -92854 -53593
116 -69412 -29989
105 -96204 2458
204 21901 -86490
177 77327 13371
138 22537 -26916
11 34093 -79356
220 97988 3016
200 54051 19866
212 14384 60369
96 -6238 -25000
207 -15444 -52407
55 94797 -90123
149 71140 50981
113 -92937 -54653
135 98851 -20466
136 -96389 -52068
181 -70230 -55613
102 -79983 33952
172 42271 -55611
12 8030 -1299
152 -40110 99807
35 71501 78661
82 89201 26639
111 94641 20933
59 -57817 -83052
140 -77501 -78004
157 68023 23587
56 -25816 -65125
139 -87840 -16400
83 -37532 31973
37 -68341 -86559
161 28591 -97134
218 55884 -7377
127 69367 -18495
65 -38558 -82910
78 -56600 -573
25 -16919 -53714
27 48726 -73617
154 -92808 -64657
106 -88080 83240
194 91299 -23189
108 27802 83001
58 63648 -11226
222 83075 -86098
169 92944 78027
49 22545 -76539
7 1682 -19056
22 5675 19431
170 36945 72318
21 -23754 -35340
224 7415 25144
98 60373 80745
183 67910 -49339
147 -7226 12316
84 -25704 -41297
44 43434 -97649
85 -77181 87184
185 25923 30999
199 -8295 -84438
79 49109 -83076
213 -53104 -85232
209 -60225 4576
156 11810 49106
151 -22045 -81522
3 -27715 83438
175 -52482 -36654
229 23328 -57148
33 26606 18731
5 11778 -51701
0 11366 23935
146 -66451 -54802
192 30938 82891
19 73295 59808
214 -62143 11443
42 -60580 -57061
48 39307 -91376
16 -25791 70467
93 -20620 16575
103 -30794 12077
129 88253 79751
216 70834 46657
211 59000 -76020
67 -61389 -54848
206 -20936 -63442
141 78080 27052
23 -67000 19695
124 -89500 -203
119 511 -52590
6 -20401 47351
144 -38720 -91029
184 66999 56816
125 59299 66117
81 80373 83532
14 -17812 11498
63 63094 25479
87 38903 -14000
171 60921 14439
64 35061 -89195
202 38809 -19450
9 -88664 85040
10 -30424 -27666
4 7373 6761
28 -75027 67452
51 -88706 -75888
95 -88982 36989
66 92368 75946
227 -29365 -51543
91 -87846 -30112
219 61888 -10910
68 -49738 39786
174 -94206 86637
18 -87177 72874
190 -55058 22494
97 -30132 18349
46 35951 -88343
99 -75800 65462
74 -91926 79556
54 -91791 62197
17 67553 -48243
1 30303 -86967
61 50804 -26045
160 84326 -44793
188 21010 -41585
31 5516 54058
168 -61489 -82135
165 7941 28559
41 -86318 -70003
210 59081 -99866
77 14258 -18520
150 42614 50558
50 -63698 -63956
15 -47789 -85026
88 22906 -66445
70 -28262 49540
24 42324 35547
107 -74335 -62255
110 -19658 76425
143 -24746 15971
221 -97316 -93777
38 -53780 40343
109 1407 70218
118 30148 24289
225 -40664 75688
71 -37729 -39734
217 90362 -55300
94 91662 16096
47 12013 97536
178 41125 -97736
162 61502 51649
215 42591 -39813
123 95705 -506
186 -13206 -70814
40 41357 17853
137 -72995 52483
163 -40872 -78241
197 46773 60499
191 82506 -98098
72 -15357 -92758
13 26255 -15786
122 -29577 -87352
131 33906 74812
80 -32367 -3051
126 -41022 -30746
145 48776 74025
89 61971 74282
75 18058 43893
164 48070 -67077
39 9124 -62839
90 -99836 9959
173 -8780 39858
205 -35971 -1315
8 -76407 21897
43 -68825 58838
101 80603 -54900
60 -9080 12959
158 -76127 15995
176 -66836 -14710
114 -84211 37446
155 21694 -451
92 57697 77282
142 36347 -24671
195 -6795 -33879
167 72011 -20098
76 -13466 96623
187 3869 4842
208 55265 37149
69 26185 -74807
228 27806 90937
153 -86516 -64801
130 71615 -52223
134 -90593 -43161
45 28068 -59339
30 38184 7218
2 40314 -6093
62 19673 32346
182 -15222 -94582
180 15087 63913
52 92116 24057
121 85857 -81441
29 1679 -72287
128 -23357 70600
148 -18520 -33637
115 -13129 44517
179 30632 -93868
26 -90227 58257
34 -20547 -37786
193 69547 -9670
112 -47214 -81480
100 -61318 -4419
189 -5578 40585
57 -82159 -48541
32 78314 -76023
196 -25964 -75214
73 5607 -87010
