5
2 2
1 2 -1
2 1 -1
2 2
1 2 -1
2 1 -1
2 2
1 2 -1
2 1 -1
2527 4950
1 2 56
1 3 -39
1 4 -83
1 5 -38
1 6 57
1 7 -27
1 8 23
1 9 1
1 10 48
1 11 91
1 12 -7
1 13 -51
1 14 48
1 15 50
1 16 -76
1 17 18
1 18 22
1 19 99
1 20 50
1 21 45
1 22 7
1 23 100
1 24 -63
1 25 28
1 26 -22
2 27 -40
3 27 94
3 28 51
4 28 96
4 29 -71
5 29 -80
5 30 4
6 30 1
6 31 -78
7 31 99
7 32 -99
8 32 -96
8 33 61
9 33 -58
9 34 59
10 34 10
10 35 -70
11 35 -60
11 36 71
12 36 85
12 37 47
13 37 47
13 38 83
14 38 74
14 39 42
15 39 99
15 40 -74
16 40 -3
16 41 -4
17 41 -12
17 42 8
18 42 -32
18 43 12
19 43 -48
19 44 17
20 44 -9
20 45 -87
21 45 -53
21 46 -26
22 46 -49
22 47 56
23 47 42
23 48 -83
24 48 42
24 49 -27
25 49 -71
25 50 4
26 50 48
26 51 89
27 52 -24
28 52 -54
28 53 46
29 53 3
29 54 49
30 54 -93
30 55 -72
31 55 44
31 56 59
32 56 -94
32 57 -47
33 57 -43
33 58 33
34 58 94
34 59 -45
35 59 -68
35 60 84
36 60 -51
36 61 -74
37 61 61
37 62 -69
38 62 -16
38 63 1
39 63 -95
39 64 -54
40 64 -56
40 65 -74
41 65 -52
41 66 1
42 66 10
42 67 29
43 67 84
43 68 60
44 68 -15
44 69 20
45 69 -69
45 70 90
46 70 7
46 71 -60
47 71 -15
47 72 -94
48 72 13
48 73 58
49 73 88
49 74 -42
50 74 -1
50 75 -2
51 75 -36
51 76 -74
52 77 23
53 77 -70
53 78 56
54 78 33
54 79 30
55 79 -62
55 80 31
56 80 11
56 81 87
57 81 -73
57 82 -29
58 82 -36
58 83 33
59 83 -57
59 84 -49
60 84 -58
60 85 -46
61 85 -86
61 86 67
62 86 49
62 87 -20
63 87 73
63 88 45
64 88 -60
64 89 -46
65 89 64
65 90 -56
66 90 -86
66 91 -92
67 91 -84
67 92 82
68 92 42
68 93 -7
69 93 -73
69 94 -44
70 94 -51
70 95 21
71 95 51
71 96 -26
72 96 -65
72 97 8
73 97 92
73 98 95
74 98 -63
74 99 -36
75 99 67
75 100 13
76 100 97
76 101 -73
77 102 -90
78 102 58
78 103 42
79 103 -88
79 104 58
80 104 65
80 105 1
81 105 59
81 106 62
82 106 79
82 107 -75
83 107 -32
83 108 93
84 108 95
84 109 92
85 109 9
85 110 50
86 110 -47
86 111 53
87 111 81
87 112 -7
88 112 73
88 113 64
89 113 87
89 114 -37
90 114 97
90 115 53
91 115 26
91 116 -75
92 116 -87
92 117 -6
93 117 68
93 118 19
94 118 -36
94 119 -28
95 119 73
95 120 -71
96 120 -51
96 121 71
97 121 93
97 122 29
98 122 80
98 123 -82
99 123 -56
99 124 27
100 124 -85
100 125 -55
101 125 83
101 126 16
102 127 -32
103 127 -91
103 128 -26
104 128 -60
104 129 72
105 129 93
105 130 -21
106 130 -14
106 131 -100
107 131 -33
107 132 -33
108 132 -37
108 133 -25
109 133 74
109 134 36
110 134 -14
110 135 94
111 135 3
111 136 -76
112 136 42
112 137 -8
113 137 21
113 138 -38
114 138 -85
114 139 27
115 139 53
115 140 58
116 140 55
116 141 72
117 141 -50
117 142 -22
118 142 -63
118 143 -96
119 143 -65
119 144 -42
120 144 45
120 145 -24
121 145 -49
121 146 -23
122 146 -10
122 147 37
123 147 13
123 148 -74
124 148 -12
124 149 69
125 149 -27
125 150 -51
126 150 98
126 151 -37
127 152 30
128 152 -70
128 153 -24
129 153 -61
129 154 19
130 154 -57
130 155 -38
131 155 -47
131 156 82
132 156 -45
132 157 -30
133 157 79
133 158 51
134 158 -8
134 159 -58
135 159 66
135 160 78
136 160 -22
136 161 -15
137 161 -46
137 162 66
138 162 -55
138 163 -12
139 163 -99
139 164 48
140 164 -87
140 165 16
141 165 68
141 166 80
142 166 92
142 167 42
143 167 -38
143 168 59
144 168 -53
144 169 -56
145 169 99
145 170 -19
146 170 -73
146 171 -10
147 171 88
147 172 -54
148 172 -3
148 173 40
149 173 -24
149 174 55
150 174 26
150 175 -9
151 175 -94
151 176 7
152 177 4
153 177 -9
153 178 -65
154 178 6
154 179 -76
155 179 -8
155 180 -81
156 180 -83
156 181 93
157 181 -90
157 182 -82
158 182 -70
158 183 -41
159 183 4
159 184 20
160 184 80
160 185 -8
161 185 13
161 186 -94
162 186 96
162 187 -77
163 187 -68
163 188 37
164 188 9
164 189 -62
165 189 45
165 190 99
166 190 71
166 191 11
167 191 -84
167 192 92
168 192 30
168 193 25
169 193 -59
169 194 84
170 194 40
170 195 -53
171 195 -18
171 196 -55
172 196 47
172 197 69
173 197 -2
173 198 14
174 198 -19
174 199 100
175 199 54
175 200 62
176 200 -49
176 201 -33
177 202 -31
178 202 -92
178 203 35
179 203 95
179 204 12
180 204 -14
180 205 54
181 205 -19
181 206 32
182 206 12
182 207 98
183 207 28
183 208 92
184 208 -47
184 209 88
185 209 43
185 210 -12
186 210 -70
186 211 -54
187 211 -33
187 212 -86
188 212 -1
188 213 66
189 213 -19
189 214 94
190 214 31
190 215 35
191 215 -88
191 216 -95
192 216 9
192 217 -21
193 217 41
193 218 43
194 218 -58
194 219 70
195 219 -32
195 220 -36
196 220 -42
196 221 49
197 221 91
197 222 0
198 222 -51
198 223 58
199 223 21
199 224 97
200 224 -42
200 225 -91
201 225 -95
201 226 -80
202 227 -89
203 227 39
203 228 23
204 228 -51
204 229 3
205 229 -24
205 230 0
206 230 -28
206 231 49
207 231 -40
207 232 38
208 232 86
208 233 -25
209 233 -54
209 234 91
210 234 88
210 235 27
211 235 5
211 236 77
212 236 -56
212 237 -12
213 237 52
213 238 -99
214 238 33
214 239 -43
215 239 5
215 240 -56
216 240 -59
216 241 96
217 241 -99
217 242 -11
218 242 -8
218 243 -75
219 243 -30
219 244 50
220 244 -21
220 245 40
221 245 34
221 246 22
222 246 84
222 247 26
223 247 -89
223 248 -21
224 248 -3
224 249 86
225 249 -19
225 250 -83
226 250 41
226 251 -83
227 252 60
228 252 57
228 253 76
229 253 35
229 254 51
230 254 -96
230 255 -40
231 255 -35
231 256 -67
232 256 87
232 257 54
233 257 -47
233 258 6
234 258 -33
234 259 76
235 259 15
235 260 -8
236 260 -74
